DATE,MAKE,TYPE,URL,PAGE
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-b310-sale-gampaha-9820616,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-cedric-gloria-sale-colombo-9820569,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-fb14-sale-minuwangoda-9820464,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-leaf-azeo-sale-kalutara-9819796,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-bluebird-sale-pannala-9819783,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-cube-sale-kaduwela-9819776,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-sunny-sale-dompe-9819605,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-fb12-sale-gampaha-9819532,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-fb13-anniversary-sale-galle-9818976,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-presea-sale-kandy-9818916,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-leaf-sale-kiribathgoda-9818871,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-sb14-sale-kotikawatta-9818601,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-dayz-sale-kandy-9818519,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-sunny-e-fb17-sale-hambantota-9818413,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-leaf-azeo-sale-colombo-9818240,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-avenir-wagon-sale-galle-9818205,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-n16-sale-pannipitiya-9817869,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-pulsar-sale-malabe-9817195,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-pulsar-fn-sale-kegalle-9816865,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-cefiro-sale-avissawella-9816657,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-azeo-sale-kalutara-9816626,13
6/1/2025,nissan,cars,https://riyasewana.com/buy/nissan-sunny-sb11-sale-tangalle-9816598,13
6/1/2025,nissan,vans,https://riyasewana.com/buy/nissan-nissan-sale-kadawatha-9820427,7
6/1/2025,nissan,vans,https://riyasewana.com/buy/nissan-cherry-vanette-sale-kegalle-9820389,7
6/1/2025,nissan,vans,https://riyasewana.com/buy/nissan-caravan-sale-moratuwa-9820220,7
6/1/2025,nissan,vans,https://riyasewana.com/buy/nissan-vanette-sale-gampaha-9819320,7
6/1/2025,nissan,vans,https://riyasewana.com/buy/nissan-largo-sale-kurunegala-9819318,7
